GeneID	Annotation	Class
Tb927.9.9670	20S proteasome subunit alpha-6, (putative) (TbPSA6)	Ubiquitin.proteasome
Tb927.3.5520	26S proteasome regulatory non-ATPase subunit (RPN1)	Ubiquitin.proteasome
Tb927.11.11430	cullin 1, putative	Ubiquitin.proteasome
Tb927.3.1290	cullin 4B, putative	Ubiquitin.proteasome
Tb927.10.7490	cullin, putative	Ubiquitin.proteasome
Tb927.8.5210	cullin, putative	Ubiquitin.proteasome
Tb927.8.5970	cullin, putative	Ubiquitin.proteasome
Tb927.1.4540	cyclin-like F-box protein (CFB1A)	Ubiquitin.proteasome
Tb927.1.4650	cyclin-like F-box protein (CFB2)	Ubiquitin.proteasome
Tb927.9.6040	E1-like ubiquitin-activating enzyme, putative	Ubiquitin.proteasome
Tb927.8.7000	E1-like ubiquitin-activating enzyme, putative (ATG10)	Ubiquitin.proteasome
Tb927.10.11180	E1-like ubiquitin-activating enzyme, putative,ATG7/CVT2/APG7, putative (ATG7)	Ubiquitin.proteasome
Tb927.2.1890	E2-like ubiquitin-conjugation enzyme (ATG3)	Ubiquitin.proteasome
Tb927.9.5650	E2-like ubiquitin-conjugation enzyme, putative	Ubiquitin.proteasome
Tb927.10.10190	Homologue of GRR1, and F-box component of the SCF ubiquitin ligase complex.	Ubiquitin.proteasome
Tb927.11.14330	hypothetical protein, conserved, ARM repeat, Zn binding, HECT E3 ligase	Ubiquitin.proteasome
Tb927.4.310	hypothetical protein, conserved, C-terminal HECT E3 ligase domain (Neddylation)	Ubiquitin.proteasome
Tb927.10.8390	hypothetical protein, conserved, HECT E3 ligase at C-terminus	Ubiquitin.proteasome
Tb927.11.3390	hypothetical protein, conserved, HECT E3 ligase at C-terminus	Ubiquitin.proteasome
Tb927.8.6330	hypothetical protein, conserved, similar to yeast Doa1p, 7WD repeats,PFU domain binding to Ubiquitin	Ubiquitin.proteasome
Tb927.3.5320	hypothetical protein, conserved, UBX5 of yeast 3e-4, blast-back +ve, interaction with ubiquitinated proteins	Ubiquitin.proteasome
Tb927.10.6930	hypothetical protein. cullin, cullin-Nedd88 bs site like	Ubiquitin.proteasome
NCDS.Tb927.11.7454	ubiquitin activating enzyme, putative	Ubiquitin.proteasome
Tb927.9.12670	nucleic acid binding protein,CCHC and RING	Ubiquitin.proteasome
Tb927.9.8400	predicted zinc finger protein, RING finger	Ubiquitin.proteasome
Tb927.11.12340	predicted Zinc finger, C3HC4 type (RING finger) protein	Ubiquitin.proteasome
Tb927.10.3520	protease regulatory ATPase subunit 4, putative (RPT4)	Ubiquitin.proteasome
Tb927.8.5740	proteasome 26S non-ATPase subunit 9, putative	Ubiquitin.proteasome
Tb927.10.3710	proteasome activator protein PA26	Ubiquitin.proteasome
Tb927.10.290	proteasome alpha 2 subunit, putative	Ubiquitin.proteasome
Tb927.7.4420	proteasome alpha 3 subunit, putative	Ubiquitin.proteasome
Tb927.10.230	proteasome alpha 5 subunit, putative,20S proteasome subunit alpha 5	Ubiquitin.proteasome
Tb927.3.780	proteasome alpha 7 subunit (TbPSA7)	Ubiquitin.proteasome
Tb927.11.7020	proteasome alpha 7 subunit, putative (PSA4)	Ubiquitin.proteasome
Tb927.9.11310	proteasome beta 2 subunit, putative,20S proteasome subunit	Ubiquitin.proteasome
Tb927.10.4710	proteasome beta 2 subunit, putative,20S proteasome subunit (PSB4)	Ubiquitin.proteasome
Tb927.11.7270	proteasome beta 3 subunit, putative (PSB3)	Ubiquitin.proteasome
Tb927.10.6080	proteasome beta 5 subunit, putative,proteasome beta 5 subunit (PRCE)	Ubiquitin.proteasome
Tb927.4.430	proteasome beta 7 subunit	Ubiquitin.proteasome
Tb927.6.1260	proteasome beta-1 subunit, putative (TbPSB1)	Ubiquitin.proteasome
Tb927.7.2500	proteasome regulatory ATPase subunit 1 (RPT1)	Ubiquitin.proteasome
Tb927.11.3740	proteasome regulatory ATPase subunit 2 (RPT2)	Ubiquitin.proteasome
Tb927.6.1090	proteasome regulatory ATPase subunit 3 (RPT3)	Ubiquitin.proteasome
Tb927.7.2550	proteasome regulatory ATPase subunit 5 (RPT5)	Ubiquitin.proteasome
Tb927.11.14430	proteasome regulatory non-ATP-ase subunit (RPN1)	Ubiquitin.proteasome
Tb927.8.570	proteasome regulatory non-ATP-ase subunit 10 (RPN10)	Ubiquitin.proteasome
Tb927.11.9220	proteasome regulatory non-ATP-ase subunit 2 (RPN2)	Ubiquitin.proteasome
Tb927.11.2130	proteasome regulatory non-ATP-ase subunit 3 (RPN3)	Ubiquitin.proteasome
Tb927.10.1550	proteasome regulatory non-ATP-ase subunit 5,)RPN5)	Ubiquitin.proteasome
Tb927.11.16030	proteasome regulatory non-ATP-ase subunit 7 (RPN7)	Ubiquitin.proteasome
Tb927.2.2440	proteasome regulatory non-ATPase subunit 6 (RPN6)	Ubiquitin.proteasome
Tb927.10.14530	proteasome regulatory non-ATPase subunit 8 RPN8)	Ubiquitin.proteasome
Tb927.10.15720	Proteasome regulatory subunit (RPN9)	Ubiquitin.proteasome
Tb927.10.9740	Proteasome regulatory subunit (RPT6)	Ubiquitin.proteasome
Tb927.10.3030	Proteasome regulatory subunit,  (RPN11)	Ubiquitin.proteasome
Tb927.9.5260	ERAD-associated Ring finger E3 ubiquitin-protein ligase HRD1, putative	Ubiquitin.proteasome
Tb927.11.6130	Skp1 family protein, putative,Cyclin A/CDK2-associated protein,Cyclin A/CDK2- associated protein	Ubiquitin.proteasome
Tb927.10.11610	SKP1-like protein	Ubiquitin.proteasome
Tb927.5.3210	small ubiquitin-related modifier, putative (SUMO)	Ubiquitin.proteasome
Tb927.9.2220	SUMO1/Ulp2, putative	Ubiquitin.proteasome
Tb927.8.1590	TOM1, HECT ubiquitin-protein ligase involved in mRNA export from nucleus	Ubiquitin.proteasome
Tb11.02.5410	SUMO activating enzyme AOS1	Ubiquitin.proteasome
Tb927.11.5170	ubiquitin activating enzyme, putative	Ubiquitin.proteasome
Tb927.2.4020	ubiquitin activating enzyme, putative	Ubiquitin.proteasome
Tb927.10.2210	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.11.12240	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.11.250	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.11.5140	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.11.5270	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.4.3790	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.5.2400	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.6.1110	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.6.2690	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.9.13430	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.9.14470	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.9.5520	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.11.1930	ubiquitin carboxyl-terminal hydrolase, Clan CA cysteine peptidase, family C12, putative	Ubiquitin.proteasome
Tb927.11.14480	ubiquitin carboxyl-terminal hydrolase, putative	Ubiquitin.proteasome
Tb927.11.16100	ubiquitin carboxyl-terminal hydrolase, putative	Ubiquitin.proteasome
Tb927.8.5620	ubiquitin carboxyl-terminal hydrolase, putative	Ubiquitin.proteasome
Tb927.8.5380	ubiquitin fold modifier protein UFM1	Ubiquitin.proteasome
Tb927.6.2460	ubiquitin fusion degradation protein 2 ubiquitin conjugation factor E4 B, putative	Ubiquitin.proteasome
Tb927.10.7790	ubiquitin fusion degradation protein, putative	Ubiquitin.proteasome
Tb927.3.4840	ubiquitin hydrolase, putative,cysteine peptidase, Clan CA, family C19, putative	Ubiquitin.proteasome
Tb927.11.12770	ubiquitin ligase, putative	Ubiquitin.proteasome
Tb927.5.3430	SUMO-activating enzyme e1 UBA2	Ubiquitin.proteasome
Tb927.9.4620	ubiquitin-activating enzyme e1, putative	Ubiquitin.proteasome
Tb927.8.2640	ubiquitin-activating enzyme e1, putative (UBA1)	Ubiquitin.proteasome
Tb927.9.12650	ubiquitin-activating enzyme e1, putative (UBA2)	Ubiquitin.proteasome
Tb927.7.6960	ubiquitin-conjugating enzyme ,non-canonical, putative	Ubiquitin.proteasome
Tb927.11.13940	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.11.14200	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.2.2460	SUMO-conjugating enzyme e2, UBC9	Ubiquitin.proteasome
Tb927.4.2710	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.5.1000	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.7.2540	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.8.6090	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.8.6510	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.8.920	ubiquitin-conjugating enzyme e2, putative (PEX4?)	Ubiquitin.proteasome
Tb927.9.8000	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome
Tb927.10.2250	ubiquitin-conjugating enzyme variant Kua homologue, putative	Ubiquitin.proteasome
Tb927.2.3720	ubiquitin-conjugating enzyme, putative	Ubiquitin.proteasome
Tb927.11.3310	ubiquitin-conjugating enzyme, putative,	Ubiquitin.proteasome
Tb927.6.3140	Ubiquitin-like protein	Ubiquitin.proteasome
Tb927.10.4980	ubiquitin-like protein DSK2, putative (DSK2)	Ubiquitin.proteasome
Tb927.11.4130	ubiquitin-like protein, putative	Ubiquitin.proteasome
Tb927.6.2370	ubiquitin-protein ligase, putative	Ubiquitin.proteasome
Tb927.10.9750	ubiquitin-protein ligase, putative (upl3)	Ubiquitin.proteasome
Tb927.4.770	ubiquitin-protein ligase, putative (upl3)	Ubiquitin.proteasome
Tb927.9.13360	ubiquitin-protein ligase, putative (upl3)	Ubiquitin.proteasome
Tb927.4.2540	ubiquitin, putative	Ubiquitin.proteasome
Tb927.11.16430	18 kDa ER-associated protein (ERAP18)	Vesicular.transport
Tb927.11.10870	32 kDa ER-associated protein (ERAP32)	Vesicular.transport
Tb927.10.8040	adaptin complex AP1 beta subunit (BAD1)	Vesicular.transport
Tb927.4.760	adaptin complex AP1 gamma subunit	Vesicular.transport
Tb927.7.3180	adaptin complex AP1 mu subunit	Vesicular.transport
Tb927.3.4000	Adaptin complex AP1 sigma subunit	Vesicular.transport
Tb927.11.10650	adaptin complex AP3 beta subunit AP3B	Vesicular.transport
Tb927.5.3610	adaptin complex AP3 delta subunit	Vesicular.transport
Tb927.4.2020	adaptin complex AP3 mu subunit	Vesicular.transport
Tb927.8.6680	adaptin complex AP3 sigma subunit	Vesicular.transport
Tb927.10.9230	adaptin complex AP4 beta subunit	Vesicular.transport
Tb927.6.2960	adaptin complex AP4 epsilon subunit	Vesicular.transport
Tb927.8.7050	adaptin complex AP4 mu subunit	Vesicular.transport
Tb927.10.14260	adaptin complex AP4 sigma subunit	Vesicular.transport
Tb927.10.8580	ADP-ribosylation factor 3, putative (ARL3)	Vesicular.transport
Tb927.11.14460	ADP-ribosylation factor GTPase activating protein 1, putative	Vesicular.transport
Tb927.11.9180	ADP-ribosylation factor GTPase activating protein, centaurin beta 5 (Cnt-b5)	Vesicular.transport
Tb927.3.5330	ADP-ribosylation factor GTPase activating protein, centaurin beta 5 (Cnt-b5)	Vesicular.transport
Tb927.11.9470	ADP-ribosylation factor GTPase activating protein, putative	Vesicular.transport
Tb927.9.15490	ADP-ribosylation factor GTPase activating protein, putative	Vesicular.transport
Tb927.10.4250	ADP-ribosylation factor-like 2, arl2 (ARL2)	Vesicular.transport
Tb927.3.3450	ADP-ribosylation factor-like protein 3A, putative	Vesicular.transport
Tb927.9.7230	ADP-ribosylation factor-like protein, putative (ARL1B)	Vesicular.transport
Tb927.10.5230	ADP-ribosylation factor, putative	Vesicular.transport
Tb927.6.3650	ADP-ribosylation factor, putative	Vesicular.transport
Tb927.9.13650	ADP-ribosylation factor, putative	Vesicular.transport
Tb927.9.7650	ADP-ribosylation factor, putative	Vesicular.transport
Tb927.7.6230	ADP-ribosylation factor, putative (ARF3)	Vesicular.transport
Tb927.10.13650	ARF-like 2-binding protein, putative	Vesicular.transport
Tb927.8.5060	ARL6, vesicle-associated, needed for full-length flagellum	Vesicular.transport
Tb927.9.12870	BET5 homologue, particle for transport from ER to Golgi.	Vesicular.transport
Tb927.11.7460	BiP	Vesicular.transport
Tb927.10.13740	calcium-dependent lipid binding protein, putative,synaptotagmin, putative (CaLB)	Vesicular.transport
Tb927.4.5010	calreticulin, putative	Vesicular.transport
Tb927.10.6980	caltractin, putative	Vesicular.transport
Tb927.10.2130	CAP100 Clathrin-associated protein	Vesicular.transport
Tb927.11.14240	CAP116 Clathrin-associated protein	Vesicular.transport
Tb927.10.720	CAP118 Clathrin-associated protein	Vesicular.transport
Tb927.9.8620	CAP125 Clathrin-associated protein	Vesicular.transport
Tb927.7.3930	CAP161 Clathrin-associated protein	Vesicular.transport
Tb927.11.6920	CAP186 clathrin-associated	Vesicular.transport
Tb927.9.15400	CAP334 ankyrin-repeat protein, clathrin-associated	Vesicular.transport
Tb927.7.4960	CAP50 Clathrin-associated protein	Vesicular.transport
Tb927.5.2660	CAP99 Clathrin-associated protein	Vesicular.transport
Tb927.11.4800	clathrin coat assembly protein, putative	Vesicular.transport
Tb927.10.6050	clathrin heavy chain (CHC)	Vesicular.transport
Tb927.2.6050	coatamer beta-prime subunit beta prime COP	Vesicular.transport
Tb927.4.450	coatomer alpha subunit, putative (TbCoatomerAlpha)	Vesicular.transport
Tb927.1.2570	coatomer beta subunit (beta-coP)	Vesicular.transport
Tb927.8.5250	coatomer delta subunit, ,delta-COP	Vesicular.transport
Tb927.11.14900	coatomer epsilon subunit, epsilon-COP COPE	Vesicular.transport
Tb927.11.11900	coatomer gamma subunit, (Gamma-COP) COPG	Vesicular.transport
Tb927.10.4270	coatomer zeta subunit, (zeta-CoP)	Vesicular.transport
Tb927.10.6640	COP-coated vesicle membrane protein erv25 precursor,	Vesicular.transport
Tb927.3.2320	COP9 signalosome complex subunit 2, putative	Vesicular.transport
Tb927.10.7800	cop9 signalosome complex subunit, putative,predicted PCI domain protein	Vesicular.transport
Tb927.11.15230	cytosolic coat protein, putative	Vesicular.transport
Tb927.9.15090	cytosolic coat protein, putative	Vesicular.transport
Tb927.3.4720	dynamin, putative,vacuolar sortin protein 1, putative	Vesicular.transport
Tb927.7.3160	dynein heavy chain, cytosolic, Dynein DYNC1HI Cyto1 clathrin-associated	Vesicular.transport
Tb927.8.8030	emp24/gp25L/p24 family/GOLD	Vesicular.transport
Tb927.7.2510	endoplasmatic reticulum retrieval protein, putative	Vesicular.transport
Tb927.8.4890	endoplasmic reticulum oxidoreductin, Ero1, oxidises PDI	Vesicular.transport
Tb927.11.3470	endosomal integral membrane protein, putative	Vesicular.transport
Tb927.3.4190	endosomal integral membrane protein, putative	Vesicular.transport
Tb927.4.1090	endosomal integral membrane protein, putative	Vesicular.transport
Tb927.8.1940	endosomal integral membrane protein, putative	Vesicular.transport
Tb927.11.8140	ER lumen retaining receptor protein, putative	Vesicular.transport
Tb927.11.4200	ERGIC53 paralogue, lectin-like, ER quality control	Vesicular.transport
Tb927.11.7213	ERV46-like, ER-Golgi transport vesicles	Vesicular.transport
Tb927.9.9730	FP45	Vesicular.transport
Tb927.11.2660	Golgi reassembly stacking protein (GRASP homologue), putative	Vesicular.transport
Tb927.11.10270	golgi SNARE protein-like,GOLGI SNAP receptor complex member, putative	Vesicular.transport
Tb927.3.3720	Golgi vesicular membrane trafficking protein, putative	Vesicular.transport
Tb927.8.1870	Golgi/lysosome glycoprotein 1 (tGLP1)	Vesicular.transport
Tb927.11.6840	Golgin	Vesicular.transport
Tb927.6.440	haptoglobin-hemoglobin receptor (HpHbR)	Vesicular.transport
Tb927.11.10690	hypothetical protein, conserved	Vesicular.transport
Tb927.11.12470	hypothetical protein, conserved, possible ARF-GEF domain	Vesicular.transport
Tb927.10.15220	hypothetical protein, conserved, potential ER localized	Vesicular.transport
Tb927.10.14150	hypothetical protein, conserved, related to yeast BFR1, component pf polysomal mRNP. Weak  chromosomal segregation ATPase domain. loc in ER of Sc. Interacts RF1, AP3	Vesicular.transport
Tb927.3.3850	Sec23-binding domain of Sec16, matches yeast proline-rich domain proteins associated with actin organisation	Vesicular.transport
Tb927.10.5850	hypothetical protein, conserved, some similarity ot vauolar sorting proteins.	Vesicular.transport
Tb927.10.2340	hypothetical protein, conserved, t-SNARE like	Vesicular.transport
Tb927.8.2860	hypothetical protein, conserved, t-snare motif	Vesicular.transport
Tb927.9.9750	hypothetical protein, conserved,membrane- trafficking protein, putative	Vesicular.transport
Tb927.10.6230	hypothetical protein, conserved,MORN repeat containing protein	Vesicular.transport
Tb927.9.2050	membrane protein YIP1, putative	Vesicular.transport
Tb927.6.4670	MORN repeat-containing protein,flagellar component (TbMORN1)	Vesicular.transport
Tb927.4.3380	MYO1 myosin IB heavy chain, in Tc vacuolar proteome and clathrin-associated	Vesicular.transport
Tb927.11.11200	oligomeric golgi complex component 8, putative	Vesicular.transport
Tb927.7.4940	oligopeptidase B protein, clathrin-associated	Vesicular.transport
Tb927.10.1620	PIPKA phosphatidylinositol phosphate kinase	Vesicular.transport
Tb927.10.12420	predicted S. cerevisiae Got1 homologue, predicted to be involved in ER-Golgi transport	Vesicular.transport
Tb927.11.12680	prefoldin subunit 2, also clathrin associated	Vesicular.transport
Tb927.11.6230	pretranslocation protein, alpha subunit, SEC61	Vesicular.transport
Tb927.11.15930	Probable TRAPP subunit 4	Vesicular.transport
Tb927.10.14180	TbSec13 Outer ring nucleoporin	Nuclear.transport
Tb927.11.8120	protein transport protein Sec13, putative	Vesicular.transport
Tb927.8.3660	protein transport protein Sec23 (SEC23.1)	Vesicular.transport
Tb927.10.7740	protein transport protein Sec23 (SEC23.2)	Vesicular.transport
Tb927.3.1210	protein transport protein Sec24 (SEC24.1)	Vesicular.transport
Tb927.3.5420	protein transport protein Sec24 (SEC24.2)	Vesicular.transport
Tb927.11.6170	protein transport protein Sec31, putative,cytosolic coat protein, putative	Vesicular.transport
Tb927.3.960	protein transport protein Sec61 gamma subunit, putative	Vesicular.transport
Tb927.1.1980	Protein transport protein yif1, putative	Vesicular.transport
Tb927.10.11980	QA-SNARE protein putative	Vesicular.transport
Tb927.9.13030	QA-SNARE protein putative	Vesicular.transport
Tb927.11.16830	IFT22 (was RABL5) (in UPF1-TAP)	Cytoskeleton
Tb927.7.3790	ras-like small GTPase, putative (TbFRP)	Vesicular.transport
Tb927.5.4500	ras-like small GTPase, putative (TbSAR1)	Vesicular.transport
Tb927.10.12960	ras-related protein rab-5,small GTPase, putative (RAB5A)	Vesicular.transport
Tb927.7.7140	Related to vacuolar sorting proteins, possibly involved in endosomal sorting. Top match for humanNP_057569, related to yeast vacuolar sorting protein VTA1 but not the best match.	Vesicular.transport
Tb927.6.3500	RME8 endosomal trafficking protein, clathrin-associated	Vesicular.transport
Tb927.9.1780	sec1 family transport protein, putative (SLY1)	Vesicular.transport
Tb927.1.3850	Sec61 beta family and TM domain	Vesicular.transport
Tb927.9.10010	Sec63 homologue, chaperone protein DNAj	Vesicular.transport
Tb927.5.3220	signal peptidase type I, putative	Vesicular.transport
Tb927.3.4910	signal peptide peptidase, putative,aspartic peptidase, clan AD, family A22B, putative	Vesicular.transport
Tb927.11.5400	signal recognition particle 54 kDa (SRP54)	Vesicular.transport
Tb927.10.15520	signal recognition particle protein, putative	Vesicular.transport
Tb927.11.9890	signal recognition particle receptor alpha subunit, putative	Vesicular.transport
Tb927.8.4610	small GTP-binding protein Rab1 (Trab1)	Vesicular.transport
Tb927.8.890	small GTP-binding protein Rab1, putative	Vesicular.transport
Tb927.8.4330	small GTP-binding protein Rab11 (RAB11)	Vesicular.transport
Tb927.8.4770	small GTP-binding protein Rab18 (TbRAB18)	Vesicular.transport
Tb927.6.3040	small GTP-binding protein Rab28, putative,Ras- related protein Rab-26 (Rab26), putative	Vesicular.transport
Tb927.2.2130	small GTP-binding protein RAB6, putative (25N14.200)	Vesicular.transport
Tb927.8.4620	small GTP-binding protein Rab7, putative (Trab7)	Vesicular.transport
Tb927.8.8140	small GTP-binding rab protein, putative	Vesicular.transport
Tb927.4.4220	small GTP-binding rab protein, putative (TbRX2)	Vesicular.transport
Tb927.11.15030	small GTPase (X3)	Vesicular.transport
Tb927.10.8560	small GTPase, putative (RAB23)	Vesicular.transport
Tb927.11.4570	small GTPase, putative, Rab5b, putative (RAB5B)	Vesicular.transport
Tb927.9.15930	small GTPase, putative,GTP-binding protein, putative (RAB1B)	Vesicular.transport
Tb927.9.11000	small GTPase, putative,GTP-binding protein, putative (RAB7)	Vesicular.transport
Tb927.11.15240	small GTPase, putative,ras-related protein rab-2a, putative (RAB2)	Vesicular.transport
Tb927.10.1520	small GTPase, putative,Ras-related protein, putative (RAB21)	Vesicular.transport
Tb927.11.13750	small GTPase, putative,ras-related rab-4 (RAB4)	Vesicular.transport
Tb927.10.15500	SNARE protein, putative	Vesicular.transport
Tb927.11.2110	SNF7 domain protein transport endosome-lysosome	Vesicular.transport
Tb927.1.3110	soluble N-ethylmaleimide sensitive factor (NSF) attachment protein, putative	Vesicular.transport
Tb927.4.1850	SRP68, putative	Vesicular.transport
Tb927.10.15130	synaptobrevin-type vesicle transport protein, SLY2 (SEC22)	Vesicular.transport
Tb927.11.5490	synaptojanin (N-terminal domain), putative	Vesicular.transport
Tb927.7.3490	synaptojanin (N-terminal domain), putative	Vesicular.transport
Tb927.9.10640	synaptojanin (N-terminal domain), putative	Vesicular.transport
Tb927.10.14200	syntaxin 5	Vesicular.transport
Tb927.9.1970	syntaxin binding protein 1, putative	Vesicular.transport
Tb927.10.14690	syntaxin, putative	Vesicular.transport
Tb927.10.1830	syntaxin, putative	Vesicular.transport
Tb927.3.5570	syntaxin, putative	Vesicular.transport
Tb927.9.3820	syntaxin, putative	Vesicular.transport
Tb927.11.8790	target SNARE, putative	Vesicular.transport
Tb927.8.5030	trafficking protein particle complex subunit 3, (TRAPP) component, Bet3	Vesicular.transport
Tb927.7.2190	Translocon-associated protein alpha subunit	Vesicular.transport
Tb927.6.4500	translocon-associated protein beta	Vesicular.transport
Tb927.7.4470	translocon-associated protein gamma 4 transmembrane domains	Vesicular.transport
Tb927.9.12150	transport protein particle (TRAPP) subunit, putative	Vesicular.transport
Tb927.7.6440	v-SNARE like protein	Vesicular.transport
Tb927.6.3790	valosin-containing protein homolog, putative,AAA ATPase	Vesicular.transport
Tb927.10.5770	valosin-containing protein homolog,Transitional endoplasmic reticulum ATPase, putative (VCP)	Vesicular.transport
Tb927.11.9630	vesicle protein SN7 family protein.	Vesicular.transport
Tb927.2.5120	vesicle-associated membrane protein, in Tc vacuolar proteome	Vesicular.transport
Tb927.9.14080	vesicle-associated membrane protein, putative	Vesicular.transport
Tb927.10.790	vesicle-associated membrane protein, putative (VAMP)	Vesicular.transport
Tb927.5.3560	vesicle-associated membrane protein, putative (VAMP)	Vesicular.transport
Tb927.11.3080	vesicular protein trafficking mediator, putative	Vesicular.transport
Tb927.11.1660	vesicular transport protein (CDC48 homologue), putative	Vesicular.transport
Tb927.1.1560	vesicular-fusion protein nsf, putative,N-ethylmaleimide sensitive factor (NsF)	Vesicular.transport
Tb927.11.1680	vesicular-fusion protein SEC18, putative	Vesicular.transport
Tb927.10.8400	Vip36 lectin-like, ERGIC53 paralogue, ER quality control	Vesicular.transport
Tb927.8.5580	VPS13; N-terminal region of Chorein, a TM vesicle-mediated sorter/Integral peroxisomal membrane peroxin, 	Vesicular.transport
Tb927.11.10700	Yos9-like, ER quality control	Vesicular.transport
Tb927.11.8330	hypothetical protein, conserved, 4 C2H2 Zn fingers	Zinc.finger
Tb927.10.5830	hypothetical protein, conserved, 4-5 RanBP2 Zn fingers, matches varios yeast/human proteins with motif	Zinc.finger
Tb927.10.13610	hypothetical protein, conserved, 6 C2HC Zn fingers, Zn ribbon, matches other proteins with motif	Zinc.finger
Tb927.6.350	hypothetical protein, conserved, T. brucei specific, 2 C2H2 Zn fingers	Zinc.finger
Tb927.11.660	hypothetical protein, conserved. predicted zinc finger protein	Zinc.finger
Tb927.10.5820	predicted RanGDP binding protein	Zinc.finger
Tb927.10.12940	predicted zinc finger protein	Zinc.finger
Tb927.10.4160	predicted zinc finger protein	Zinc.finger
Tb927.9.10170	predicted zinc finger protein	Zinc.finger
Tb927.10.6380	ring finger containing protein	Zinc.finger
Tb927.10.7400	Zinc finger domain found in E3 ubiquitin ligases	Zinc.finger
Tb927.10.15610	zinc finger protein, putative	Zinc.finger
Tb927.6.3620	zinc finger protein, putative	Zinc.finger
Tb927.7.1840	zinc finger protein, putative	Zinc.finger
Tb927.7.1880	zinc finger protein, putative	Zinc.finger
Tb927.7.690	zinc finger protein, putative	Zinc.finger
Tb927.11.16060	zinc finger protein, putative,predicted zinc finger protein	Zinc.finger
Tb927.6.4810	zinc-binding protein (Yippee), putative	Zinc.finger
Tb927.5.2720	zinc-finger protein ZPR1	Zinc.finger
Tb927.6.3540	zinc-finger protein, conserved	Zinc.finger
Tb927.3.4220	Zn-finger domain protein, putative	Zinc.finger
Tb927.1.1700	AATF protein, putative	ZUnknown
Tb927.10.9300	adiponectin receptor protein 1	ZUnknown
Tb927.4.3500	Amastin surface glycoprotein, putative	ZUnknown
Tb927.4.1300	amidinotransferase, putative	ZUnknown
Tb927.11.16160	ATP binding protein-like protein	ZUnknown
Tb927.10.7360	ATP-binding cassette protein, putative	ZUnknown
Tb927.11.360	ATP-binding protein, putative	ZUnknown
Tb927.10.14440	b9 domain-containing protein 1 (b9d1)	ZUnknown
Tb927.11.380	B9 domain-containing protein 2 (b9d2)	ZUnknown
Tb927.10.5240	cAMP binding protein, putative	ZUnknown
Tb927.8.2230	Checkpoint protein HUS1, putative (hus1)	ZUnknown
Tb927.10.12820	Cysteine proteinase domains by interpro but not NCBI	ZUnknown
Tb927.6.2900	dendritic cell-derived IFNG-induced protein	ZUnknown
Tb927.4.4320	divalent cation tolerance protein, putative	ZUnknown
Tb927.9.4930	divalent cation transporter, putative	ZUnknown
Tb927.1.1010	E3 ubiquitin-protein ligase KCMF1, putative	ZUnknown
Tb927.1.990	Enkuring domain-containig protein	ZUnknown
Tb927.1.1660	ESCO acetyltransferase domain-containing protein	ZUnknown
Tb927.9.2840	Fam77 cell surface phylome protein	ZUnknown
Tb927.9.1750	Fibronectin type III domain containing protein, putative	ZUnknown
Tb927.11.5740	formin-like protein	ZUnknown
Tb927.5.2300	formin, putative	ZUnknown
Tb927.10.6650	G10 protein homologue, putative	ZUnknown
Tb927.8.560	GEM1, putative	ZUnknown
Tb927.10.10770	Generative cell specific 1 protein, putative (GCS1)	ZUnknown
Tb927.9.9150	GTP-binding protein, putative	ZUnknown
Tb927.11.11510	hd phosphohydrolase family protein	ZUnknown
Tb927.7.1720	HIRA-interacting protein 5, putative (HIRIP5)	ZUnknown
