GeneID	Annotation	Class	ORFlength
Tb927.3.3900	carnitine O-palmitoyltransferase II, putative (CPT II)	Lipids	1866
Tb927.3.3910	RNApol Rpc34 family, pol III subunit, likely homologue of yeast RPC34	RNA.synthesis	1068
Tb927.3.3920	AUK2 serine/threonine-protein kinase	Protein.kinase	1143
Tb927.3.3940	DRBD11	RNA.binding	1782
Tb927.3.3950	hypothetical protein, conserved	ZUnknown	1653
Tb927.3.3960	DRBD6A	RNA.binding	1134
Tb927.3.3970	RNA binding protein, putative, LYAR-type C2HC zinc finger domain	RNA.binding	894
Tb927.3.3980	hypothetical protein, conserved	ZUnknown	1362
Tb927.3.3990	KREPB6	Mito.RNA	1317
Tb927.3.4000	Adaptin complex AP1 sigma subunit	Vesicular.transport	480
Tb927.3.4010	hypothetical protein	ZUnknown	591
Tb927.3.4020	PI4 kinase	Signalling	6939
Tb927.3.4030	hypothetical protein, conserved	Mito.pathway	3642
Tb927.3.4040	Ankyrin repeats (3 copies), putative	ZUnknown	1860
Tb927.3.4050	hypothetical protein, conserved	ZUnknown	498
Tb927.3.4060	asparagine synthase, putative	ZUnknown	2571
Tb927.3.4120	hypothetical protein, conserved	ZUnknown	2034
Tb927.3.4130	hypothetical protein, conserved	ZUnknown	582
Tb927.3.4140	hypothetical protein, conserved	ZUnknown	1686
Tb927.3.4150	hypothetical protein, conserved	ZUnknown	1353
Tb927.3.4160	XPC-binding domain/UBA/TS-N domain containing protein, putative	ZUnknown	966
Tb927.3.4170	CRK9AP 	Cell.cycle	414
Tb927.3.4180	hypothetical protein	ZUnknown	1227
Tb927.3.4190	endosomal integral membrane protein, putative	Vesicular.transport	1938
Tb927.3.4200	Integral membrane protein S linking to the trans Golgi network, putative	ZUnknown	666
Tb927.3.4210	hypothetical protein, conserved, dsRNA binding domain	Mito.pathway	5313
Tb927.3.4220	Zn-finger domain protein, putative	Zinc.finger	2601
Tb927.3.4230	CMF33 subtilisin-like serine peptidase	Cytoskeleton	4167
Tb927.3.4240	tryparedoxin 2, TRX2	Redox	603
Tb927.3.4250	hypothetical protein, conserved	ZUnknown	669
Tb927.3.4260	Acyl-coenzyme A thioesterase, putative	Mito.pathway	1107
Tb927.3.4270	hypothetical protein, conserved	ZUnknown	2751
Tb927.3.4280	mismatch repair protein MSH5	DNA	2199
Tb927.3.4290	paraflagellar rod component PFR1	Cytoskeleton	1770
Tb927.3.4340	diphthamide synthesis protein, putative	Enzyme	1074
Tb927.3.4350	twin BRCT domain containing protein, putative	ZUnknown	2325
Tb927.3.4370	Vesicle coat protein involved in Golgi to plasma membrane transport, putative	ZUnknown	1695
Tb927.3.4380	Tob55, SAM50	Mito.biogenesis	1440
Tb927.3.4390	dihydrolipoamide dehydrogenase, putative (GCVL-1)	Enzyme	1518
Tb927.3.4400	hypothetical protein, conserved, Golgin-like, SMC domain (chromosome-segregatng ATPase), also matches yeast myosin-like	Cytoskeleton	1083
Tb927.3.4410	pre-RNA processing PIH1/Nop17, putative	ZUnknown	663
Tb927.3.4420	hypothetical protein, conserved, alpha/beta hydrolase domain	Enzyme	1332
Tb927.3.4430	hypothetical protein, conserved	ZUnknown	1827
Tb927.3.4440	hypothetical protein, conserved	ZUnknown	1041
Tb927.3.4450	hypothetical protein, conserved	ZUnknown	609
Tb927.3.4460	hypothetical protein, conserved	ZUnknown	1167
Tb927.3.4470	hypothetical protein, conserved	ZUnknown	1479
Tb927.3.4480	hypothetical protein, conserved	ZUnknown	447
Tb927.3.4490	protein farnesyltransferase alpha subunit, putative	Prenylation	1839
Tb927.3.4500	fumarate hydratase, class I (FHc)	Citric.acid.cycle	1698
Tb927.3.4510	hypothetical protein, conserved	ZUnknown	3996
Tb927.3.4520	hypothetical protein, conserved	ZUnknown	855
Tb927.3.4530	hypothetical protein, conserved	ZUnknown	768
Tb927.3.4540	NOL1/NOP2/sun family, putative	ZUnknown	1491
Tb927.3.4550	KRIPP6/TbPPR6 Kinetoplast ribosomal PPR-repeat containing protein	Mito.translation	2028
Tb927.3.4560	TbAMKa2 	Protein.kinase	1896
Tb927.3.4570	UDP-GlcNAc:PI a1-6 GlcNAc-transferase, putative	Glycans	2190
Tb927.3.4580	hypothetical protein, conserved	ZUnknown	2586
Tb927.3.4590	hypothetical protein, conserved	ZUnknown	918
Tb927.3.4600	hypothetical protein, conserved	ZUnknown	3240
Tb927.3.4610	Right handed beta helix region, putative	ZUnknown	9306
Tb927.3.4620	AAA domain containing protein, putative	ZUnknown	4245
Tb927.3.4630	UDP-glucose:glycoprotein glucosyltransferase, ER quality control	Glycans	5028
Tb927.3.4640	POMP26	Mito.membrane	837
Tb927.3.4650	C-8 sterol isomerase, putative	Sterols	666
Tb927.3.4660	WD domain, G-beta repeat, putative	ZUnknown	1791
Tb927.3.4670	CRK10 cdc2- like protein kinase	Protein.kinase	1287
Tb927.3.4680	RAB GDP dissociation inhibitor alpha, putative	Signalling	1338
Tb927.3.4690	DTW domain containing protein, putative	ZUnknown	1242
Tb927.3.4700	Domain of unknown function (DUF4379), putative	ZUnknown	1188
Tb927.3.4710	hypothetical protein, conserved	ZUnknown	1635
Tb927.3.4720	dynamin, putative,vacuolar sortin protein 1, putative	Vesicular.transport	1983
Tb927.3.4730	leucine-rich repeat protein (LRRP)	LRRP	1152
Tb927.3.4740	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus, putative	ZUnknown	1275
Tb927.3.4750	aminopeptidase, putative,metallo-peptidase, Clan MA(E) Family M1	Protease	2616
Tb927.3.4800	hypothetical protein, conserved	ZUnknown	1860
Tb927.3.4810	DNA replication complex GINS protein SLD5, putative	DNA	810
Tb927.3.4820	acyltransferase, putative	Lipids	918
Tb927.3.4830	hypothetical protein	ZUnknown	675
Tb927.3.4840	ubiquitin hydrolase, putative,cysteine peptidase, Clan CA, family C19, putative	Ubiquitin.proteasome	2196
Tb927.3.4850	enoyl-CoA hydratase, mitochondrial precursor, putative	Lipids	813
Tb927.3.4860	MKK1 protein kinase	Protein.kinase	1119
Tb927.3.4870	hypothetical protein, conserved	ZUnknown	972
Tb927.3.4880	nucleosome assembly protein (NAP), putative	ZUnknown	549
Tb927.3.4890	ubiquinone biosynthesis protein COQ7 homolog, putative	Mito.pathway	615
Tb927.3.4900	tRNA isopentenyltransferase, putative	rRNA.tRNA.process	1377
Tb927.3.4910	signal peptide peptidase, putative,aspartic peptidase, clan AD, family A22B, putative	Vesicular.transport	1059
Tb927.3.4920	LETM1 and EF-hand domain-containing protein 1, inner mitochondrial membrane?	Mito.pathway	1137
Tb927.3.4930	hypothetical protein, conserved	ZUnknown	627
Tb927.3.4940	5-histidylcysteine sulfoxide synthase, 1st step ovothiol s/s	Redox	2250
Tb927.3.4950	hypothetical protein, conserved	ZUnknown	1500
Tb927.3.4960	Trypanosome-specific kinesin family 2	Cytoskeleton	4785
Tb927.3.4970	hypothetical protein, conserved	ZUnknown	3192
Tb927.3.4990	oxidoreductase, putative	Enzyme	1020
Tb927.3.5000	hypothetical protein, conserved	ZUnknown	1701
Tb927.3.5010	hypothetical protein, conserved	ZUnknown	582
Tb927.3.5020	Flagellar Member 6 (FLAM6)	Cytoskeleton	4242
Tb927.3.5030	KU70 protein (KU70)	DNA	2238
Tb927.3.5040	hypothetical protein, conserved	ZUnknown	1695
Tb927.3.5050	60S ribosomal protein L4	Ribosome	1125
Tb927.3.5060	Ankyrin repeats (many copies)/Ankyrin repeats (3 copies), putative	ZUnknown	1044
Tb927.3.5070	hypothetical protein, conserved	ZUnknown	1938
Tb927.3.5080	PSP1 C-terminal conserved region, putative	ZUnknown	1596
Tb927.3.5090	tryparedoxin, putative	Redox	597
Tb927.3.5100	TFIIH basal transcription factor subunit XPB	RNA.synthesis	2817
Tb927.3.5110	hypothetical protein, conserved, no domains	ZUnknown	1458
Tb927.3.5120	Ankyrin repeats (3 copies), putative	ZUnknown	2121
Tb927.3.5130	exonuclease, putative	ZUnknown	1137
Tb927.3.5140	exonuclease, putative	ZUnknown	2289
Tb927.3.5150	exonuclease, putative	RNA.degradation	990
Tb927.3.5160	hypothetical protein, conserved	ZUnknown	3699
Tb927.3.5170	hypothetical protein, conserved	ZUnknown	1242
Tb927.3.5180	cofilin/actin depolymerizing factor, putative	Cytoskeleton	411
Tb927.3.5190	hypothetical protein, conserved	ZUnknown	1077
Tb927.3.5200	hypothetical protein, conserved	ZUnknown	711
Tb927.3.5210	hypothetical protein, conserved	ZUnknown	957
Tb927.3.5220	hypothetical protein, conserved	ZUnknown	1767
Tb927.3.5230	DNA repair protein, putative	DNA	1434
Tb927.3.5240	Mitchondrial SSU ribosomal associated KRIPP8 (PPR)	Mito.translation	1746
Tb927.3.5250	ZC3H8	RNA.binding	1740
Tb927.3.5260	hypothetical protein, conserved	ZUnknown	1410
Tb927.3.5270	DNA-directed RNA polymerases II subunit, putative (RPB4)	RNA.synthesis	489
Tb927.3.5280	spliceosome-associated protein 49, SF3b(SAP)49 (DRBD1)	RNA.processing	777
Tb927.3.5290	hypothetical protein, conserved	ZUnknown	2835
Tb927.3.5300	hypothetical protein, conserved, sigpep, no domains	ZUnknown	519
Tb927.3.5310	paraflagellar rod protein,I2 antigen	Cytoskeleton	6387
Tb927.3.5320	hypothetical protein, conserved, UBX5 of yeast 3e-4, blast-back +ve, interaction with ubiquitinated proteins	Ubiquitin.proteasome	1212
Tb927.3.5330	ADP-ribosylation factor GTPase activating protein, centaurin beta 5 (Cnt-b5)	Vesicular.transport	828
Tb927.3.5340	Hsc70-interacting protein (Hip), putative	Chaperone	1155
Tb927.3.5350	hypothetical protein, conserved, no known domains	ZUnknown	318
Tb927.3.5360	FHA domain containing protein, putative	ZUnknown	825
Tb927.3.5370	hypothetical protein, conserved	ZUnknown	942
Tb927.3.5380	Tubulin-tyrosine ligase family, putative	ZUnknown	1554
Tb927.3.5390	Ring finger domain containing protein, putative	ZUnknown	1548
Tb927.3.5400	RIO1 protein kinase	Protein.kinase	1719
Tb927.3.5410	hypothetical protein, conserved, no clear yeast or human matches	ZUnknown	612
Tb927.3.5420	protein transport protein Sec24 (SEC24.2)	Vesicular.transport	2712
Tb927.3.5430	hypothetical protein, conserved	ZUnknown	816
Tb927.3.5440	SNF2 DNA repair protein, putative	DNA	4494
Tb927.3.5450	hypothetical protein, conserved	ZUnknown	2700
Tb927.3.5460	RBSR3	RNA.processing	1566
Tb927.3.5470	hypothetical protein, conserved	ZUnknown	528
Tb927.3.5480	hypothetical protein, conserved	ZUnknown	1464
Tb927.3.5490	flagellar transport protein, putative (PIFTB2)	Cytoskeleton	2070
Tb927.3.5500	DNA-directed RNA polymerase II subunit 3, putative, (RPB3)	RNA.synthesis	1014
Tb927.3.5510	hypothetical protein, conserved	ZUnknown	2580
Tb927.3.5520	26S proteasome regulatory non-ATPase subunit (RPN1)	Ubiquitin.proteasome	2736
Tb927.3.5530	Tb-292 membrane associated protein	Membrane.protein	7392
Tb927.3.5540	FAP133, Component of the IFT dynein motor	Cytoskeleton	1605
Tb927.3.5550	small GTP-binding protein, putative (TbRX1)	Signalling	552
Tb927.3.5560	hypothetical protein, conserved	ZUnknown	333
Tb927.3.5570	syntaxin, putative	Vesicular.transport	783
Tb927.3.5580	tryptophanyl-tRNA synthetase, putative	Translation.tRNA	1170
Tb927.3.5590	hypothetical protein, conserved	ZUnknown	2088
Tb927.3.5600	hypothetical protein, conserved	ZUnknown	816
Tb927.3.5610	ribosomal protein L3 mitochondrial, putative	Mito.translation	1422
Tb927.3.5620	FACT complex subunit SPT16, involved in pol II trasncription initiation, histone H2A/B dissociation from chromatin	RNA.synthesis	3069
Tb927.3.5630	3,2-trans-enoyl-CoA isomerase, mitochondrial precursor, putative	Lipids	936
Tb927.3.5640	nuclear transcription factor, putative	RNA.synthesis	1638
Tb927.3.5650	protein kinase, putative,serine/threonine protein kinase, putative	Protein.kinase	2790
Tb927.3.5660	GnT11 UDP-GlcNAc:α3-D-mannoside β1–2-N-acetylglucosaminyltransferase I	Glycans	1167
Tb927.3.5670	hypothetical protein	ZUnknown	672
Tb927.3.5690	hypothetical protein, conserved	ZUnknown	993
Tb927.3.5700	hypothetical protein, conserved	ZUnknown	1062
Tb927.3.5720	hypothetical protein, conserved	ZUnknown	1065
Tb927.3.5760	hypothetical protein, conserved, brucei-evansi specific, SET domain	ZUnknown	
Tb927.3.5770	hypothetical protein	ZUnknown	
Tb927.3.5780	hypothetical protein	ZUnknown	
Tb927.3.580	leucine-rich repeat protein (LRRP)	LRRP	1743
Tb927.3.590	adenosine transporter, putative	Nucleotides	1389
Tb927.3.600	hypothetical protein	ZUnknown	699
Tb927.3.610	N-acetyltransferase complex ARD1 subunit, putative	Enzyme	561
Tb927.3.620	ATP-dependent DEAD/H RNA helicase, putative Dbp7, ribosome biogenesis?	rRNA.tRNA.process	2427
Tb927.3.630	hypothetical protein, conserved	ZUnknown	225
Tb927.3.640	hypothetical protein, conserved	ZUnknown	891
Tb927.3.650	hypothetical protein, conserved	ZUnknown	189
Tb927.3.660	hypothetical protein, conserved	ZUnknown	1137
Tb927.3.670	hypothetical protein	ZUnknown	1449
Tb927.3.680	cytochrome P450, putative	Mito.e.transport	1755
Tb927.3.690	protein kinase, putative	Protein.kinase	1752
Tb927.3.700	hypothetical protein, conserved, no clear yeast or human matches	ZUnknown	258
Tb927.3.710	RING-variant domain containing protein, putative	ZUnknown	1998
Tb927.3.720	ZFP3	RNA.binding	393
Tb927.3.730	hypothetical protein, conserved	ZUnknown	912
Tb927.3.740	ZC3H5	RNA.binding	741
Tb927.3.750	SET domain containing protein, putative	Mito.pathway	1005
Tb927.3.760	hypothetical protein, conserved	ZUnknown	1653
Tb927.3.770	Mitchondrial SSU ribosomal protein	Mito.translation	546
Tb927.3.780	proteasome alpha 7 subunit (TbPSA7)	Ubiquitin.proteasome	714
Tb927.3.790	ZC3H6	RNA.binding	1071
Tb927.3.800	Vacuolar iron transporter VIT1	Transporter	846
Tb927.3.810	hypothetical protein, conserved	ZUnknown	1005
Tb927.3.820	Mitchondrial LSU ribosomal protein	Mito.translation	567
Tb927.3.830	flap endonuclease-1 (FEN-1), putative	DNA	1182
Tb927.3.840	hypothetical protein, conserved	ZUnknown	1068
Tb927.3.850	hypothetical protein, conserved	ZUnknown	2265
Tb927.3.860	acyl carrier protein, mitochondrial precursor, putative (ACP)	Lipids	447
Tb927.3.870	hypothetical protein, conserved, match to histone RNA hairpin binding proteins	RNA.binding	1299
Tb927.3.880	Ankyrin repeats (3 copies), putative	ZUnknown	735
Tb927.3.890	hypothetical protein, conserved	ZUnknown	918
Tb927.3.900	PUB domain containing protein, putative	ZUnknown	1030
Tb927.3.910	gamma-tubulin	Cytoskeleton	1344
Tb927.3.920	hypothetical protein, conserved	ZUnknown	3468
Tb927.3.930	OADalpha outer arm dynein heavy chain	Cytoskeleton	13920
Tb927.3.940	Complex 1 protein (LYR family), putative	Mito.pathway	465
Tb927.3.950	2OG-Fe(II) oxygenase superfamily, putative	Mito.pathway	1263
Tb927.3.960	protein transport protein Sec61 gamma subunit, putative	Vesicular.transport	210
Tb927.3.970	Mitchondrial SSU ribosomal protein	Mito.translation	1113
Tb927.3.980	hypothetical protein, conserved	ZUnknown	2103
Tb927.3.990	hypothetical protein, conserved	ZUnknown	1572
Tb927.4.1000	hypothetical protein, conserved	ZUnknown	666
Tb927.4.1010	hypothetical protein	ZUnknown	
Tb927.4.1020	Serine palmitoyltransferase	Lipids	1473
Tb927.4.1030	Protein of unknown function (DUF501), putative	ZUnknown	828
Tb927.4.1040	hypothetical protein, conserved	ZUnknown	501
Tb927.4.1050	inositol-pentakisphosphate 2-kinase, putative	ZUnknown	1386
Tb927.4.1060	hypothetical protein, conserved	ZUnknown	3306
Tb927.4.1070	Mitchondrial LSU ribosomal protein L13, putative	Mito.translation	609
Tb927.4.1080	V-type ATPase, A subunit, putative	Lysosome	1833
Tb927.4.1090	endosomal integral membrane protein, putative	Vesicular.transport	1905
Tb927.4.1110	hypothetical protein, conserved, predicted GPI anchor	Membrane.protein	1380
Tb927.4.1120	hypothetical protein, conserved	ZUnknown	1527
Tb927.4.1130	Complex 1 protein (LYR family), putative	Mito.pathway	498
Tb927.4.1140	PI4 kinase	Signalling	1746
Tb927.4.1150	hypothetical protein, conserved	ZUnknown	2226
Tb927.4.1170	ankyrin, putative	Cytoskeleton	1020
Tb927.4.1180	Programmed cell death protein 2, C-terminal putative domain containing protein, putative	ZUnknown	1008
Tb927.4.1190	LicD family, putative	ZUnknown	612
Tb927.4.1210	hypothetical protein	ZUnknown	555
Tb927.4.1220	leucine-rich repeat protein (LRRP)	LRRP	783
Tb927.4.1230	hypothetical protein	ZUnknown	996
Tb927.4.1240	hypothetical protein	ZUnknown	354
Tb927.4.1250	PEX1 peroxisome biogenesis factor 1	Glycosome	2736
Tb927.4.1260	hypothetical protein, conserved	ZUnknown	1005
Tb927.4.1270	ruvB-like DNA helicase, putative	DNA	1380
Tb927.4.1280	Tetratricopeptide repeat, putative	ZUnknown	1197
Tb927.4.1290	hypothetical protein, conserved	ZUnknown	615
Tb927.4.1300	amidinotransferase, putative	ZUnknown	1125
Tb927.4.1310	ZC3H9	RNA.binding	1251
Tb927.4.1320	hypothetical protein, conserved	ZUnknown	2727
Tb927.4.1330	DNA topoisomerase IB, large subunit	DNA	2091
Tb927.4.1340	CPSF73 	RNA.processing	2313
Tb927.4.1350	glyoxalase II (glx2-2)	Redox	1434
Tb927.4.1360	Aldose-1-epimerase, putative	Glucose.glycerol	882
Tb927.4.1370	hypothetical protein, conserved	ZUnknown	456
Tb927.4.1380	D-Tyr-tRNA(Tyr) deacylase, putative	ZUnknown	528
Tb927.4.1390	hypothetical protein, conserved	ZUnknown	6997
Tb927.4.1400	vacuolar transport protein 4A, putative	Lysosome	
Tb927.4.1410	hypothetical protein, conserved	ZUnknown	
Tb927.4.1420	hypothetical protein, conserved	ZUnknown	405
Tb927.4.1430	hypothetical protein, conserved	ZUnknown	1404
Tb927.4.1440	probable rRNA maturation factor YbeY, putative	Mito.pathway	618
Tb927.4.1450	hypothetical protein, conserved	ZUnknown	1266
Tb927.4.1460	Zn-finger in ubiquitin-hydrolases and other protein, putative	Zinc.finger	1491
Tb927.4.1470	Domain of unknown function (DUF4379), putative	ZUnknown	432
Tb927.4.1480	Beta-lactamase superfamily domain/DNA repair metallo-beta-lactamase, putative	ZUnknown	2163
Tb927.4.1490	hypothetical protein, conserved	ZUnknown	1812
Tb927.4.1500	RNA editing associated helicase 2 (REH2) MRB 1 subunit	Mito.RNA	6504
Tb927.4.1510	phospholipid-translocating ATPase, putative	Lipids	3243
Tb927.4.1520	Pestivirus Npro endopeptidase C53, putative	ZUnknown	594
Tb927.4.1530	hypothetical protein, conserved	ZUnknown	2913
Tb927.4.1540	POMP27, NAD-dependent epimerase, aldehyde reductase, one putative TM domain	Mito.membrane	1527
Tb927.4.1550	hypothetical protein, conserved	ZUnknown	1350
Tb927.4.1560	hypothetical protein, conserved	ZUnknown	1608
Tb927.4.1570	hypothetical protein, conserved	ZUnknown	948
Tb927.4.1580	WW domain containing protein, putative	ZUnknown	630
Tb927.4.1590	POMP28	Mito.membrane	1056
Tb927.4.1600	AAA domain containing protein, putative	ZUnknown	705
Tb927.4.1610	VDAC-like	Ions	1080
Tb927.4.1620	phosphatidylinositol 4-phosphate 5-kinase alpha (PIPKA)	Signalling	1446
Tb927.4.1630	RRP6	RNA.degradation	2112
Tb927.4.1640	UDP-galactose transporter, putative	Glycans	1023
Tb927.4.1650	hypothetical protein, conserved	ZUnknown	1686
Tb927.4.1660	mitochondrial carrier protein, MCP6	Mito.transport	1158
Tb927.4.1670	POMP29, cytochrome b5-like haem-binding domain	Mito.e.transport	462
Tb927.4.1680	ZC3H10	RNA.binding	1410
Tb927.4.1690	Retinal Maintenance, putative	ZUnknown	942
Tb927.4.1700	protein kinase, putative	Protein.kinase	2079
Tb927.4.1710	rhodanese-like domain containing protein, putative	ZUnknown	744
Tb927.4.1720	nucleoside diphosphate kinase, putative	Nucleotides	1050
Tb927.4.1730	hypothetical protein, conserved, kinetoplastid-specific	ZUnknown	480
Tb927.4.1740	hypothetical protein, conserved	ZUnknown	1269
Tb927.4.1750	hypothetical protein, conserved	ZUnknown	810
Tb927.4.1760	hypothetical protein, conserved	Mito.pathway	474
Tb927.4.1770	hypothetical protein, conserved	ZUnknown	237
Tb927.4.1780	hypothetical protein, conserved	ZUnknown	1143
Tb927.4.1790	60S ribosomal protein L3	Ribosome	1443
Tb927.4.1810	Mitchondrial LSU ribosomal protein	Mito.translation	345
Tb927.4.1820	selenocysteine-tRNA-specific elongation factor, putative	Translation	1968
Tb927.4.1830	Urm1 (Ubiquitin related modifier), putative	ZUnknown	309
Tb927.4.1840	Carboxypeptidase Nna1-like protein, putative	Protease	2322
Tb927.4.1850	SRP68, putative	Vesicular.transport	1737
Tb927.4.1860	40S ribosomal protein S19	Ribosome	504
Tb927.4.1870	kinetoplastid-specific phospho-protein phosphatase, putative	Protein.phosphatase	1281
Tb927.4.1880	hypothetical protein, conserved	ZUnknown	921
Tb927.4.1890	hypothetical protein, conserved	ZUnknown	675
Tb927.4.1900	Methyltransferase domain/Methyltransferase involved in Williams-Beuren syndrome, putative	ZUnknown	1140
Tb927.4.1910	hypothetical protein, conserved, no domains, K-specific	ZUnknown	732
Tb927.4.1920	GPI transamidase, putative (TbGPI16)	GPI.anchors	2061
Tb927.4.1930	EIF3G	Translation	819
Tb927.4.1940	WD domain, G-beta repeat, putative	ZUnknown	1446
Tb927.4.1950	NADPH--cytochrome p450 reductase, putative (CPR)	Enzyme	1833
Tb927.4.1960	hypothetical protein, conserved	ZUnknown	1125
Tb927.4.1970	Domain of unknown function DUF21, putative	ZUnknown	1686
Tb927.4.1980	hypothetical protein, conserved	ZUnknown	2496
Tb927.4.1990	RNA helicase, SUV3 homologue, putative,in mitochondrion	Mito.RNA	1881
Tb927.4.2000	ruvB-like DNA helicase, putative,ATP-dependent DNA helicase, putative	DNA	1425
Tb927.4.2010	Acyl-CoA binding protein	Lipids	282
Tb927.4.2020	adaptin complex AP3 mu subunit	Vesicular.transport	1281
Tb927.4.2050	hypothetical protein	ZUnknown	
Tb927.4.2060	hypothetical protein, conserved, resemblance to myosin	ZUnknown	1761
Tb927.4.2080	CC2D is a FAZ-ER protein, also present on the basal bodies. CC2D is required for FAZ filament assembly. 	Cytoskeleton	2721
Tb927.4.2090	hypothetical protein	ZUnknown	516
Tb927.4.2100	hypothetical protein	ZUnknown	462
Tb927.4.2110	protein phosphatase 2C, putative	Protein.phosphatase	945
Tb927.4.2120	hypothetical protein, conserved	ZUnknown	1227
Tb927.4.2130	hypothetical protein, conserved	ZUnknown	957
Tb927.4.2140	MBO2,flagellar component	Cytoskeleton	3003
Tb927.4.2150	hypothetical protein, conserved	ZUnknown	525
Tb927.4.2160	hypothetical protein, conserved	ZUnknown	402
Tb927.4.2170	hypothetical protein, conserved, low homology to phosphatidylserinsynthase	ZUnknown	396
Tb927.4.2180	60S ribosomal protein L35a	Ribosome	450
Tb927.4.2190	GTP-binding protein, putative	Enzyme	1776
Tb927.4.2200	Sec7 domain containing protein, putative	ZUnknown	5016
Tb927.4.2210	hypothetical protein, conserved	ZUnknown	480
Tb927.4.2220	TPR-repeat-containing chaperone protein DNAJ, putative	Chaperone	2118
Tb927.4.2230	dolichyl-P-Man:GDP-Man1GlcNAc2-PP-dolichyl alpha-1,3-mannosyltransferase, putative	Glycans	1530
Tb927.4.2240	hypothetical protein, conserved, D-aminoacid aminotransferase domain, used for  synthesis of D-glutamic acid and D-alanine	Enzyme	1173
Tb927.4.2250	hypothetical protein, conserved, no known domains	ZUnknown	1002
Tb927.4.2260	Centrin1	Cell.cycle	549
Tb927.4.2270	Histone-like transcription factor (CBF/NF-Y) and archaeal histone, putative	ZUnknown	939
Tb927.4.2280	hypothetical protein, conserved	ZUnknown	1149
Tb927.4.2290	glucose transporter, putative	Glucose.glycerol	1659
Tb927.4.2300	hypothetical protein, conserved	ZUnknown	2121
Tb927.4.2310	asparaginyl-tRNA synthetase, putative	Translation.tRNA	2004
Tb927.4.2320	hypothetical protein, conserved	ZUnknown	435
Tb927.4.2330	hypothetical protein, conserved	ZUnknown	243
Tb927.4.2340	hypothetical protein, conserved	ZUnknown	1578
Tb927.4.2350	G-actin binding protein, putative, twinfilin, putative	Cytoskeleton	963
Tb927.4.2360	hypothetical protein, conserved	Mito.pathway	963
Tb927.4.2370	hypothetical protein, conserved	ZUnknown	1719
Tb927.4.2380	sarcoplasmic reticulum glycoprotein, putative	ZUnknown	1875
Tb927.4.2390	ATP-dependent DEAD/H RNA helicase, putative, no clear yeast homologue, resembles Prp43 and Prp22 	RNA.processing	2229
Tb927.4.2400	hypothetical protein, conserved	Cytoskeleton	4287
Tb927.4.2410	Glycosyl hydrolase family 65 central catalytic domain/Haloacid dehalogenase-like hydrolase, putative	ZUnknown	3447
Tb927.4.2420	hypothetical protein, conserved	ZUnknown	423
Tb927.4.2430	Endonuclease/Exonuclease/phosphatase family, putative	ZUnknown	1965
Tb927.4.2440	hypothetical protein, very weak match to yeast ribosomal protein RSM23	Mito.pathway	1155
Tb927.4.2450	Protein Disulfide Isomerase 1	Redox	1236
Tb927.4.2460	kinatase, putative	Enzyme	3861
Tb927.4.2470	ARMTOR (TOR complexes)	Signalling	4035
Tb927.4.2480	8-oxoguanine DNA glycosylase, putative	DNA	1449
Tb927.4.2490	hypothetical protein, conserved	ZUnknown	1248
Tb927.4.2500	eIF2K2 eukaryotic translation initiation factor 2-alpha kinase	Protein.kinase	3027
Tb927.4.2510	multidrug resistance-associated protein, putative,p-glycoprotein (PGPA)	Transporter	4512
Tb927.4.2520	NAD dependent deacetylase SIR2RP3, nicotinic acid mononucleotide 5,6-dimethylbenzimidazole (cobb) protein	Mito.pathway	735
Tb927.4.2530	hypothetical protein, conserved	ZUnknown	477
Tb927.4.2540	ubiquitin, putative	Ubiquitin.proteasome	237
Tb927.4.2550	hypothetical protein, conserved	ZUnknown	819
Tb927.4.2560	Cardolipin synthase	Lipids	1920
Tb927.4.2570	hypothetical protein, conserved	ZUnknown	1341
Tb927.4.2580	hypothetical protein, conserved	Mito.pathway	3021
Tb927.4.2590	hypothetical protein, conserved	ZUnknown	1797
Tb927.4.2600	hypothetical protein, conserved	ZUnknown	4887
Tb927.4.2610	hypothetical protein	ZUnknown	465
Tb927.4.2620	hypothetical protein, conserved	ZUnknown	732
Tb927.4.2630	ATP-dependent DEAD/H RNA helicase, putative Dbp10, ribosome biogenesis?	rRNA.tRNA.process	2532
Tb927.4.2640	In MCM-BP TAP	RNA.synthesis	3825
Tb927.4.2650	Regulator of chromosome condensation (RCC1) repeat, putative	ZUnknown	1629
Tb927.4.2660	hypothetical protein, conserved	ZUnknown	309
Tb927.4.2670	pyroglutamyl-peptidase I, putative (PPI)	Protease	669
Tb927.4.2680	Zeta toxin, putative	ZUnknown	2136
Tb927.4.2690	hypothetical protein	ZUnknown	
Tb927.4.2700	HMG-CoA synthase	Prenylation	1296
Tb927.4.2710	ubiquitin-conjugating enzyme e2, putative	Ubiquitin.proteasome	477
Tb927.4.2720	ATP dependent DEAD-box helicase (RH)	Mito.translation	2220
Tb927.4.2730	Kinesin, kinesin-12	Cytoskeleton	2412
Tb927.4.2740	EF hand protein, conserved, RNAi inc diff?	Translation	453
Tb927.4.2750	hypothetical protein, conserved	ZUnknown	900
Tb927.4.2760	Protein of unknown function (DUF3808), putative	ZUnknown	2019
Tb927.4.2770	hypothetical protein, conserved	ZUnknown	1026
Tb927.4.2780	hypothetical protein, conserved	ZUnknown	2373
Tb927.4.2790	hypothetical protein, conserved	ZUnknown	1710
Tb927.4.2800	R3H-associated N-terminal domain containing protein, putative	ZUnknown	1461
